Kommune/Kreis;Bezeichnung;Zugehörigkeit Kreis;Anrede;Titel HVB;HVB/Vorname;HVB/Name;PPZ;Postfach;PLZ;Ort;Strasse;Telefon;Telefax;Internet;E-Mail;AGS;Reg-Bez
Freudenberg;kreisangehörige Stadt;Siegen-Wittgenstein;Frau;Bürgermeisterin;Nicole;Reschke;57251;Postfach 1120;57258;Freudenberg;Bahnhofstr. 18-20;02734/430;02734/43115;www.freudenberg-stadt.de;info@freudenberg-stadt.de;05970016;Arnsberg
Fröndenberg;kreisangehörige Stadt;Unna;Herrn;Bürgermeister;Friedrich-Wilhelm;Rebbe;58721;Postfach 1561;58730;Fröndenberg;Bahnhofstr. 2;02373/9760;02373/976295;www.froendenberg.de;stadt@froendenberg.de;05978012;Arnsberg
Gangelt;kreisangehörige Gemeinde;Heinsberg;Herrn;Bürgermeister;Bernhard;Tholen;52532;Postfach 1120;52538;Gangelt;Burgstr. 10;02454/5880;02454/2852;www.gangelt.de;info@gangelt.de;05370008;Köln
Geilenkirchen;Mittlere kreisangehörige Stadt;Heinsberg;Herrn;Bürgermeister;Georg;Schmitz;52502;Postfach 1269;52511;Geilenkirchen;Markt 9;02451/6290;02451/629200;www.geilenkirchen.de;stadt@geilenkirchen.de;05370012;Köln
Geldern;Mittlere kreisangehörige Stadt;Kleve;Herrn;Bürgermeister;Sven;Kaiser;47594;Postfach 1448;47608;Geldern;Issumer Tor 36;02831/3980;02831/398130;www.geldern.de;info@geldern.de;05154012;Düsseldorf
Gelsenkirchen;kreisfreie Stadt;;Herrn;Oberbürgermeister;Frank;Baranowski;;;45879;Gelsenkirchen;Ebertstraße 11;0209/1690;0209/1693530;www.gelsenkirchen.de;stadt@gelsenkirchen.de;05513000;Münster
Gescher;kreisangehörige Stadt;Borken;Herrn;Bürgermeister;Thomas;Kerkhoff;48706;Postfach 1361;48712;Gescher;Marktplatz 1;02542/600;02542/60123;www.gescher.de;info@gescher.de;05554016;Münster
Geseke;kreisangehörige Stadt;Soest;Herrn;Bürgermeister;Dr. Remco;van der Velden;59585;Postfach 1442;59590;Geseke;Martinsgasse 2;02942/5000;02942/50025;www.geseke.de;post@geseke.de;05974020;Arnsberg
Gevelsberg;Mittlere kreisangehörige Stadt;Ennepe-Ruhr;Herrn;Bürgermeister;Claus;Jacobi;58265;Postfach 2360;58285;Gevelsberg;Rathausplatz 1;02332/771-0;02332/771230;www.gevelsberg.de;Rathaus@stadtgevelsberg.de;05954012;Arnsberg
Gladbeck;Große kreisangehörige Stadt;Recklinghausen;Herrn;Bürgermeister;Ulrich;Roland;45956;Postfach 629;45964;Gladbeck;Willy-Brandt-Platz 2;02043/990;02043/991111;www.gladbeck.de;rathaus@stadt-gladbeck.de;05562014;Münster
Goch;Mittlere kreisangehörige Stadt;Kleve;Herrn;Bürgermeister;Ulrich;Knickrehm;47565;Postfach 100551;47574;Goch;Markt2;02823/3200;02823/320236;www.goch.de;info@goch.de;05154016;Düsseldorf
Grefrath;kreisangehörige Gemeinde;Viersen;Herrn;Bürgermeister;Manfred;Lommetz;47920;Postfach 101164;47929;Grefrath;Rathausplatz 3;02158/40800;02158/4080888;www.grefrath.de;info@grefrath.de;05166008;Düsseldorf
Greven;Mittlere kreisangehörige Stadt;Steinfurt;Herrn;Bürgermeister;Peter;Vennemeyer;48255;Postfach 1664;48268;Greven;Rathausstr. 6;02571/9200;02571/920320;www.greven.net;info@stadt-greven.de;05566012;Münster
Grevenbroich;Große kreisangehörige Stadt;Rhein-Kreis Neuss;Herrn;Bürgermeister;Klaus;Krützen;41490;Postfach 100662;41515;Grevenbroich;Am Markt 1;02181/6080;02181/608202;www.grevenbroich.de;presseamt@grevenbroich.de;05162008;Düsseldorf
Gronau (Westf.);Mittlere kreisangehörige Stadt;Borken;Frau;Bürgermeisterin;Sonja;Jürgens;48579;Postfach 1848;48599;Gronau (Westf.);Konrad-Adenauer-Str. 1;02562/120;02562/12200;www.gronau.de;info@gronau.de;05554020;Münster
Oberbergischer Kreis;Kreis;;Herrn;Landrat;Jochen;Hagt;51605;Postfach 100555;51643;Gummersbach;Moltkestr. 42;02261/880;02261/881033;www.oberbergischer-kreis.de;mail@obk.de;05374000;Köln
Gummersbach;Mittlere kreisangehörige Stadt;Oberbergischer Kreis;Herrn;Bürgermeister;Frank;Helmenstein;51608;Postfach 100852;51643;Gummersbach;Rathausplatz 1;02261/870;02261/87600;www.gummersbach.de;rathaus@stadt-gummersbach.de;05374012;Köln
Gütersloh;Kreis;;Herrn;Landrat;Sven-Georg;Adenauer;33373;Postfach 1820;33334;Gütersloh;Herzebrocker Str. 140;05241/850;05241/854000;www.kreis-guetersloh.de;kreisverwaltung@gt-net.de;05754000;Detmold
Gütersloh;Große kreisangehörige Stadt;Gütersloh;Herrn;Bürgermeister;Henning;Schulz;33326;Postfach 2955;33330;Gütersloh;Berliner Str. 70;05241/821;05241/822044;www.guetersloh.de;guetersloh@gt-net.de;05754008;Detmold
Haan;Mittlere kreisangehörige Stadt;Mettmann;Frau;Bürgermeisterin;Dr. Bettina;Warnecke;42760;Postfach 1665;42781;Haan;Kaiserstr. 85;02129/911100;02129/911102;www.haan.de;Buergermeister@stadt-haan.de;05158008;Düsseldorf
Hagen;kreisfreie Stadt;;Herrn;Oberbürgermeister;Erik O.;Schulz;58042;Postfach 4249;58095;Hagen;Rathausstraße 11;02331/2070;02331/2072400;www.hagen.de/web/de/hagen_de/home.html;stadtverwaltung@stadt-hagen.de;05914000;Arnsberg
Halle (Westf.);kreisangehörige Stadt;Gütersloh;Frau;Bürgermeisterin;Anne-Elisabeth;Rodenbrock-Wesselmann;33780;Postfach 1563/64;33790;Halle (Westf.);Ravensberger Str. 1;05201/1830;05201/183110;www.hallewestfalen.de;hallewestfalen@gt-net.de;05754012;Detmold
Hallenberg;kreisangehörige Stadt;Hochsauerland;Herrn;Bürgermeister;Michael;Kronauge;59965;Postfach 1155;59969;Hallenberg;Rathausplatz 1;02984/3030;02984/30331;www.stadt-hallenberg.de;post@stadt-hallenberg.de;05958020;Arnsberg
Haltern am See;Mittlere kreisangehörige Stadt;Recklinghausen;Herrn;Bürgermeister;Bodo;Klimpel;45712;Postfach 84;45721;Haltern am See;Dr.-Conrads-Str. 1;02364/9330;02364/933111;www.haltern.de;stadtverwaltung@haltern.de;05562016;Münster
Halver;kreisangehörige Stadt;Märkischer Kreis;Herrn;Bürgermeister;Michael;Brosch;58544;Postfach 1453;58553;Halver;Thomasstr. 18;02353/730;02353/73116;www.halver.de;post@halver.de;05962012;Arnsberg
Hamm;kreisfreie Stadt;;Herrn;Oberbürgermeister;Thomas;Hunsteger-Petermann;59061;Postfach 2449;59065;Hamm;Theodor-Heuss-Platz 16;02381/171;02381/172971;www.hamm.de;info@stadt.hamm.de;05915000;Arnsberg
Hamminkeln;Mittlere kreisangehörige Stadt;Wesel;Herrn;Bürgermeister;Bernd;Romanski;46493;Postfach 1261;46499;Hamminkeln;Brüner Straße 9;02852/880;02852/88130;www.hamminkeln.de;info@hamminkeln.de;05170012;Düsseldorf
Harsewinkel;kreisangehörige Stadt;Gütersloh;Frau;Bürgermeisterin;Sabine;Amsbeck-Dopheide;33419;Postfach 1420;33428;Harsewinkel;Münsterstr. 14;05247/9350;05247/935170;www.harsewinkel.de;harsewinkel@gt-net.de;05754016;Detmold
Hattingen;Mittlere kreisangehörige Stadt;Ennepe-Ruhr;Herrn;Bürgermeister;Dirk;Glaser;45504;Postfach 800456;45525;Hattingen;Rathausplatz 1;02324/204-0;02324/2042204;www.hattingen.de;info@hattingen.de;05954016;Arnsberg
Havixbeck;kreisangehörige Gemeinde;Coesfeld;Herrn;Bürgermeister;Klaus;Gromöller;48325;Postfach 1145;48329;Havixbeck;Willi-Richter-Platz 1;02507/330;02507/3880;www.havixbeck.de;gemeinde@havixbeck.de;05558020;Münster
Heek;kreisangehörige Gemeinde;Borken;Herrn;Bürgermeister;Franz-Josef;Weilinghoff;48613;Postfach 1180;48619;Heek;Bahnhofstr. 60;02568/93000;02568/930040;www.heek.de;info@heek.de;05554024;Münster
Heiden;kreisangehörige Gemeinde;Borken;Herrn;Bürgermeister;Hans-Jürgen;Benson;46355;Postfach 1161;46359;Heiden;Rathausplatz 1;02867/9770;02867/977244;www.heiden.de;info@heiden.de;05554028;Münster
Heiligenhaus;Mittlere kreisangehörige Stadt;Mettmann;Herrn;Bürgermeister;NN;NN;42570;Postfach 100553;42579;Heiligenhaus;Hauptstr. 157;02056/130;02056/13395;www.heiligenhaus.de;info@heiligenhaus.de;05158012;Düsseldorf
Heimbach;kreisangehörige Stadt;Düren;Herrn;Bürgermeister;Peter;Cremer;;;52396;Heimbach;Hengebachstr. 14;02446/8080;02446/80888;www.heimbach-eifel.de;buergermeister@heimbach-eifel.de;05358012;Köln
Heinsberg;Kreis;;Herrn;Landrat;Stephan;Pusch;52517;Postfach 1380;52525;Heinsberg;Valkenburger Straße 45;02452/13-0;02452/131100;www.kreis-heinsberg.de;info@kreis-heinsberg.de;05370000;Köln
Heinsberg;Mittlere kreisangehörige Stadt;Heinsberg;Herrn;Bürgermeister;Wolfgang;Dieder;52516;Postfach 1220;52525;Heinsberg;Apfelstr. 60;02452/140;02452/14260;www.heinsberg.de;stadt@heinsberg.de;05370016;Köln
Hellenthal;kreisangehörige Gemeinde;Euskirchen;Herrn;Bürgermeister;Rudolf;Westerburg;53938;Postfach 46;53940;Hellenthal;Rathausstr. 2;02482/850;02482/85114;www.hellenthal.de;gemeinde@hellenthal.de;05366020;Köln
Hemer;Mittlere kreisangehörige Stadt;Märkischer Kreis;Herrn;Bürgermeister;Michael;Heilmann;58651;Postfach 1161;58675;Hemer;Hademareplatz 44;02372/551;02372/55300;www.hemer.de;post@hemer.de;05962016;Arnsberg
Hennef (Sieg);Mittlere kreisangehörige Stadt;Rhein-Sieg-Kreis;Herrn;Bürgermeister;Klaus;Pipke;53762;Postfach 1562;53773;Hennef (Sieg);Frankfurter Str. 97;02242/8880;02242/888111;www.hennef.de;info@hennef.de;05382020;Köln
Herdecke;Mittlere kreisangehörige Stadt;Ennepe-Ruhr;Frau;Bürgermeisterin;Dr. Katja;Strauss-Köster;58311;Postfach 1561;58313;Herdecke;Kirchplatz 3;02330/611-0;02330/12614;www.herdecke.de;stadtverwaltung@herdecke.de;05954020;Arnsberg
Herford;Kreis;;Herrn;Landrat;Jürgen;Müller;33819;Postfach 1103;32051;Herford;Amtshausstr. 3;05221/13-0;05221/13-1902;www.kreis-herford.de;info@kreis-herford.de;05758000;Detmold
Herford;Große kreisangehörige Stadt;Herford;Herrn;Bürgermeister;Tim;Kähler;32018;Postfach 2843;32052;Herford;Rathausplatz1;05221/1890;05221/189690;www.herford.de;info@herford.de;05758012;Detmold
Herne;kreisfreie Stadt;;Herrn;Oberbürgermeister;Dr. Frank;Dudda;44608;Postfach 101820;44621;Herne;Friedrich-Ebert-Platz 2;02323/160;02323/162100;www.herne.de;info@herne.de;05916000;Arnsberg
Herscheid;kreisangehörige Gemeinde;Märkischer Kreis;Herrn;Bürgermeister;Uwe;Schmalenbach;58845;Postfach 60;58849;Herscheid;Plettenberger Str. 27;02357/90930;02357/909350;www.herscheid.de;post@herscheid.de;05962020;Arnsberg
Herten;Große kreisangehörige Stadt;Recklinghausen;Herrn;Bürgermeister;Fred;Toplak;;;45699;Herten;Kurt-Schumacher-Str. 2;02366/3030;02366/303255;www.herten.de;stadtverwaltung@herten.de;05562020;Münster
Herzebrock-Clarholz;kreisangehörige Gemeinde;Gütersloh;Herrn;Bürgermeister;Marco;Diethelm;33434;Postfach 1263;33442;Herzebrock-Clarholz;Am Rathaus 1;05245/4440;05245/444-101;www.herzebrock-clarholz.de;herzebrock-clarholz@gt-net.de;05754020;Detmold
Herzogenrath;Mittlere kreisangehörige Stadt;Städteregion Aachen;Herrn;Bürgermeister;Christoph ;von den Driesch;52112;Postfach 1280;52134;Herzogenrath;Rathausplatz 1;02406/830;02406/12954;www.herzogenrath.de;pressestelle@herzogenrath.de;05334016;Köln
Hiddenhausen;kreisangehörige Gemeinde;Herford;Herrn;Bürgermeister;Ulrich;Rolfsmeyer;32110;Postfach 1263;32120;Hiddenhausen;Rathausstr. 1;05221/9640;05221/964480;www.hiddenhausen.de;info@hiddenhausen.de;05758016;Detmold
Hilchenbach;kreisangehörige Stadt;Siegen-Wittgenstein;Herrn;Bürgermeister;Holger;Menzel;57261;Postfach 1360;57271;Hilchenbach;Markt 13;02733/2880;02733/288288;www.hilchenbach.de;info@hilchenbach.de;05970020;Arnsberg
Hilden;Mittlere kreisangehörige Stadt;Mettmann;Frau;Bürgermeisterin;Birgit;Alkenings;40708;Postfach 880;40721;Hilden;Am Rathaus 1;02103/720;02103/72601;www.hilden.de;info@hilden.de;05158016;Düsseldorf
Hille;kreisangehörige Gemeinde;Minden-Lübbecke;Herrn;Bürgermeister;Michael;Schweiß;32475;Postfach 6020;32479;Hille;Am Rathaus 4;0571/40440;0571/4044400;www.hille.de;info@hille.de;05770012;Detmold
Holzwickede;kreisangehörige Gemeinde;Unna;Frau;Bürgermeisterin;Ulrike Maria;Drossel;59435;Postfach 1220;59439;Holzwickede;Allee 5;02301/9150;02301/13332;www.holzwickede.de;info@holzwickede.de;05978016;Arnsberg
Hopsten;kreisangehörige Gemeinde;Steinfurt;Herrn;Bürgermeister;Winfried;Pohlmann;48494;Postfach 45;48496;Hopsten;Bunte Str. 35;05458/93250;05458/932593;www.hopsten.de;info@hopsten.de;05566020;Münster
Horn-Bad Meinberg;kreisangehörige Stadt;Lippe;Herrn;Bürgermeister;Stefan;Rother;32793;Postfach 1261;32805;Horn-Bad Meinberg;Rathausplatz 4;05234/2010;05234/201222;www.horn-badmeinberg.de;info@horn-badmeinberg.de;05766032;Detmold
Hörstel;kreisangehörige Stadt;Steinfurt;Herrn;Bürgermeister;David;Ostholthoff;48469;Postfach 2063;48477;Hörstel;Kalixtusstr. 6;05454/9110;05454/911102;www.hoerstel.de;stadt@hoerstel.de;05566016;Münster
Horstmar;kreisangehörige Stadt;Steinfurt;Herrn;Bürgermeister;Robert;Wenking;48608;Postfach 6;48612;Horstmar;Kirchplatz 1-3;02558/790;02558/7931;www.horstmar.de;stadt@horstmar.de;05566024;Münster
Hövelhof;kreisangehörige Gemeinde;Paderborn;Herrn;Bürgermeister;Michael;Berens;33155;Postfach 1162;33161;Hövelhof;Schloßstr. 14;05257/50090;05257/500931;www.hoevelhof.de;buergermeister@hoevelhof.de;05774024;Detmold
Höxter;Kreis;;Herrn;Landrat;Friedhelm;Spieker;;;37671;Höxter;Moltkestr. 12;05271/9650;05271/37926;www.kreis-hoexter.de;info@kreis-hoexter.de;05762000;Detmold
Höxter;Mittlere kreisangehörige Stadt;Höxter;Herrn;Bürgermeister;Alexander;Fischer;37669;Postfach 100640;37671;Höxter;Westerbachstr. 45;05271/9630;05271/963125;www.hoexter.de;info@hoexter.de;05762020;Detmold
Hückelhoven;Mittlere kreisangehörige Stadt;Heinsberg;Herrn;Bürgermeister;Bernd Karl Heinz;Jansen;41825;Postfach 1360;41836;Hückelhoven;Parkhofstr. 76;02433/820;02433/82265;www.hueckelhoven.de;info@hueckelhoven.de;05370020;Köln
Hückeswagen;kreisangehörige Stadt;Oberbergischer Kreis;Herrn;Bürgermeister;Dietmar;Persian;42491;Postfach 100262;42499;Hückeswagen;Auf'm Schloß 1;02192/880;02192/88288;www.hueckeswagen.de;info@stadt-hueckeswagen.de;05374016;Köln
Hüllhorst;kreisangehörige Gemeinde;Minden-Lübbecke;Herrn;Bürgermeister;Bernd;Rührup;32603;Postfach 1155;32609;Hüllhorst;Löhner Str. 1;05744/93150;05744/931570;www.huellhorst.de;info@huellhorst.de;05770016;Detmold
Hünxe;kreisangehörige Gemeinde;Wesel;Herrn;Bürgermeister;Dirk;Buschmann;46563;Postfach 1163;46569;Hünxe;Dorstener Str. 24;02858/690;02858/69222;www.huenxe.de;info@huenxe.de;05170016;Düsseldorf
Hürtgenwald;kreisangehörige Gemeinde;Düren;Herrn;Bürgermeister;Axel;Buch;;;52393;Hürtgenwald;August-Scholl-Str. 5;02429/3090;02429/30970;www.huertgenwald.de;buergermeister@huertgenwald.de;05358016;Köln
Hürth;Mittlere kreisangehörige Stadt;Rhein-Erft-Kreis;Herrn;Bürgermeister;Dirk;Breuer;;;50354;Hürth;Friedrich-Ebert-Str. 40;02233/53-0;02233/53147;www.huerth.de;rathaus@huerth.de;05362028;Köln
Ibbenbüren;Mittlere kreisangehörige Stadt;Steinfurt;Herrn;Bürgermeister;Dr. Marc;Schrameyer;49465;Postfach 1565;49477;Ibbenbüren;Alte Münsterstr. 16;05451/9310;05451/931198;www.ibbenbueren.de;info@ibbenbueren.de;05566028;Münster
Inden;kreisangehörige Gemeinde;Düren;Herrn;Bürgermeister;Jörn;Langefeld;52458;Postfach 1140;52459;Inden;Rathausstr. 1;02465/390;02465/3980;www.gemeinde-inden.de;info@gemeinde-inden.de;05358020;Köln
Iserlohn;Große kreisangehörige Stadt;Märkischer Kreis;Herrn;Bürgermeister;Dr. Peter Paul;Ahrens;58594;Postfach 2462;58636;Iserlohn;Schillerplatz 7;02371/2170;02371/2172990;www.iserlohn.de;iserlohn@iserlohn.de;05962024;Arnsberg
Isselburg;kreisangehörige Stadt;Borken;Herrn;Bürgermeister;Rudolf;Geukes;46415;Postfach 1161;46419;Isselburg;Minervastr. 12;02874/9110;02874/91120;www.isselburg.de;stadt@isselburg.de;05554032;Münster
Issum;kreisangehörige Gemeinde;Kleve;Herrn;Bürgermeister;Clemens;Brüx;47653;Postfach 1163;47661;Issum;Herrlichkeit 7-9;02835/100;02835/1010;www.issum.de;info@issum.de;05154020;Düsseldorf
Jüchen;kreisangehörige Gemeinde;Rhein-Kreis Neuss;Herrn;Bürgermeister;Harald;Zillikens;41353;Postfach 1101;41363;Jüchen;Am Rathaus 5;02165/9150;02165/915118;www.juechen.de;gemeinde@Juechen.de;05162012;Düsseldorf
Jülich;Mittlere kreisangehörige Stadt;Düren;Herrn;Bürgermeister;Axel;Fuchs;52411;Postfach 1220;52428;Jülich;Große Rurstr. 17;02461/630;02461/63362;www.juelich.de;info@juelich.de;05358024;Köln
Kaarst;Mittlere kreisangehörige Stadt;Rhein-Kreis Neuss;Frau;Bürgermeisterin;Dr. Ulrike;Nienhaus;41544;Postfach 101265;41564;Kaarst;Am Neumarkt 2;02131/9870;02131/987400;www.kaarst.de;info@kaarst.de;05162016;Düsseldorf
Kalkar;kreisangehörige Stadt;Kleve;Frau;Bürgermeisterin;Dr. Britta;Schulz;47538;Postfach 1165;47546;Kalkar;Markt 20;02824/130;02824/13234;www.kalkar.de;info@kalkar.de;05154024;Düsseldorf
Kall;kreisangehörige Gemeinde;Euskirchen;Herrn;Bürgermeister;Herbert;Radermacher;53921;Postfach 160;53925;Kall;Bahnhofstr. 9;02441/8880;02441/88848;www.kall.de;buergermeister@kall.de;05366024;Köln
Kalletal;kreisangehörige Gemeinde;Lippe;Herrn;Bürgermeister;Mario;Hecker;32684;Postfach 1144;32689;Kalletal;Rintelner Str. 3;05264/6440;05264/644100;www.kalletal.de;info@kalletal.de;05766036;Detmold
Kamen;Mittlere kreisangehörige Stadt;Unna;Herrn;Bürgermeister;Hermann;Hupe;59158;Postfach 1580;59174;Kamen;Rathausplatz 1;02307/1480;02307/1489000;www.stadt-kamen.de;rathaus@stadt-kamen.de;05978020;Arnsberg
Kamp-Lintfort;Mittlere kreisangehörige Stadt;Wesel;Herrn;Bürgermeister;Prof. Dr. Christoph;Landscheidt;47462;Postfach 1760;47475;Kamp-Lintfort;Am Rathaus 2;02842/9120;02842/912367;www.kamp-lintfort.de;info@kamp-lintfort.de;05170020;Düsseldorf
Kempen;Mittlere kreisangehörige Stadt;Viersen;Herrn;Bürgermeister;Volker;Rübo;47884;Postfach 100720;47906;Kempen;Buttermarkt 1;02152/9170;02152/917370;www.kempen.de;rathaus@kempen.de;05166012;Düsseldorf
Kerken;kreisangehörige Gemeinde;Kleve;Herrn;Bürgermeister;Dirk;Möcking;47639;Postfach 1164;47647;Kerken;Dionysiusplatz 4;02833/9220;02833/922123;www.kerken.de;info@kerken.de;05154028;Düsseldorf
Kerpen;Große kreisangehörige Stadt;Rhein-Erft-Kreis;Herrn;Bürgermeister;Dieter;Spürck;50151;Postfach 2109;50171;Kerpen;Jahnplatz 1;02237/58-0;02237/58102;www.stadt-kerpen.de;buergermeister@stadt-kerpen.de;05362032;Köln
Kevelaer;Mittlere kreisangehörige Stadt;Kleve;Herrn;Bürgermeister;Dr. Dominik;Pichler;47612;Postfach 75;47623;Kevelaer;Peter-Plümpe-Platz 12;02832/1220;02832/122720;www.kevelaer.de;info@stadt-kevelaer.de;05154032;Düsseldorf
Kierspe;kreisangehörige Stadt;Märkischer Kreis;Herrn;Bürgermeister;Frank;Emde;58556;Postfach 1344;58566;Kierspe;Springerweg 21;02359/6610;02359/661199;www.kierspe.de;post@kierspe.de;05962028;Arnsberg
Kirchhundem;kreisangehörige Gemeinde;Olpe;Herrn;Bürgermeister;Andreas ;Reinéry;57393;Postfach 1040;57399;Kirchhundem;Hundemstr. 35;02723/4090;02723/40955;www.kirchhundem.de;post@Kirchhundem.de ;05966016;Arnsberg
Kirchlengern;kreisangehörige Gemeinde;Herford;Herrn;Bürgermeister;Rüdiger;Meier;32268;Postfach 1180;32278;Kirchlengern;Am Rathaus 2;05223/75730;05223/757319;www.kirchlengern.de;info@kirchlengern.de;05758020;Detmold
Kleve;Kreis;;Herrn;Landrat;Wolfgang;Spreen;47515;Postfach 1507;47533;Kleve;Nassauer Allee 15-23;02821/850;02821/85500;www.kreis-kleve.de;info@kreis-kleve.de;05154000;Düsseldorf
Kleve;Mittlere kreisangehörige Stadt;Kleve;Frau;Bürgermeisterin;Sonja;Northing;47517;Postfach 1960;47533;Kleve;Kavarinerstr. 20-22;02821/840;02821/23759;www.kleve.de;stadt-kleve@kleve.de;05154036;Düsseldorf
Köln;kreisfreie Stadt;;Frau;Oberbürgermeisterin;Henriette;Reker;50475;Postfach 103564;50667;Köln;Rathaus;0221/221-0;0221/2212211;www.stadt-koeln.de;stadtverwaltung@stadt-koeln.de;05315000;Köln
Königswinter;Mittlere kreisangehörige Stadt;Rhein-Sieg-Kreis;Herrn;Bürgermeister;Franz Peter;Wirtz;53621;Postfach 1105;53639;Königswinter;Drachenfelsstr. 3-9;02244/8890;02244/889378;www.koenigswinter.de;stadtverwaltung@koenigswinter.de;05382024;Köln
Korschenbroich;Mittlere kreisangehörige Stadt;Rhein-Kreis Neuss;Herrn;Bürgermeister;Marc;Venten;41335;Postfach 1163;41352;Korschenbroich;Sebastianusstr. 1;02161/6130;02161/613108;www.korschenbroich.de;stadt@korschenbroich.de;05162020;Düsseldorf
Kranenburg;kreisangehörige Gemeinde;Kleve;Herrn;Bürgermeister;Günter;Steins;47552;Postfach 1162;47559;Kranenburg;Klever Str. 4;02826/790;02826/7977;www.kranenburg.de;rathaus@kranenburg.de;05154040;Düsseldorf
Krefeld;kreisfreie Stadt;;Herrn;Oberbürgermeister;Frank;Meyer;47727;Postfach 2740;47798;Krefeld;Von-der-Leyen-Platz 1;02151/86-0;02151/753081;www.krefeld.de;stadtservice@krefeld.de;05114000;Düsseldorf
Kreuzau;kreisangehörige Gemeinde;Düren;Herrn;Bürgermeister;Ingo;Eßer;52368;Postfach 1128;52372;Kreuzau;Bahnhofstr. 7;02422/5070;02422/507160;www.kreuzau.de;buergermeister@kreuzau.de;05358028;Köln
Kreuztal;Mittlere kreisangehörige Stadt;Siegen-Wittgenstein;Herrn;Bürgermeister;Walter;Kiß;57207;Postfach 1660;57223;Kreuztal;Siegener Str. 5;02732/510;02732/4534;www.kreuztal.de;stadt.kreuztal@kreuztal.de;05970024;Arnsberg
Kürten;kreisangehörige Gemeinde;Rheinisch-Bergischer Kreis;Herrn;Bürgermeister;Willi;Heider;51508;Postfach 1160;51515;Kürten;Marktfeld 1;02268/9390;02268/939140;www.kuerten.de;gemeinde@kuerten.de;05378012;Köln
Ladbergen;kreisangehörige Gemeinde;Steinfurt;Herrn;Bürgermeister;Udo;Decker-König;49546;Postfach 1148/1153;49549;Ladbergen;Jahnstr.5;05485/810;05485/8144;www.ladbergen.de;info@ladbergen.de;05566032;Münster
Laer;kreisangehörige Gemeinde;Steinfurt;Herrn;Bürgermeister;Peter;Maier;48362;Postfach 40;48366;Laer;Mühlenhoek 1;02554/9100;02554/91070;www.laer.de;rathaus@laer.de;05566036;Münster
Lage;Mittlere kreisangehörige Stadt;Lippe;Herrn;Bürgermeister;Christian;Liebrecht;32778;Postfach 1970/1980;32791;Lage;Lange Str. 72;05232/6010;05232/601-444;www.lage.de;epost@stadtlage.de;05766040;Detmold
Langenberg;kreisangehörige Gemeinde;Gütersloh;Frau;Bürgermeisterin;Susanne;Mittag;33443;Postfach 1120;33449;Langenberg;Klutenbrinkstr. 5;05248/5080;05248/50860;www.langenberg.de;langenberg@gt-net.de;05754024;Detmold
Langenfeld (Rhld.);Mittlere kreisangehörige Stadt;Mettmann;Herrn;Bürgermeister;Frank;Schneider;40740;Postfach 1565;40764;Langenfeld (Rhld.);Konrad-Adenauer-Platz 1;02173/7940;02173/79499999;www.langenfeld.de;info@langenfeld.de;05158020;Düsseldorf
Langerwehe;kreisangehörige Gemeinde;Düren;Herrn;Bürgermeister;Heinrich;Göbbels;52374;Postfach 1240;52379;Langerwehe;Schönthaler Str. 4;02423/4090;02423/1040;www.langerwehe.de;gemeinde@langerwehe.de;05358032;Köln
Legden;kreisangehörige Gemeinde;Borken;Herrn;Bürgermeister;Friedhelm;Kleweken;48735;Postfach 1129;48739;Legden;Amtshausstr. 1;02566/9100;02566/910222;www.legden.de;gemeinde@legden.de;05554036;Münster
Leichlingen (Rhld.);Mittlere kreisangehörige Stadt;Rheinisch-Bergischer Kreis;Herrn;Bürgermeister;Frank;Steffes;42787;Postfach 1665;42799;Leichlingen (Rhld.);Am Büscherhof 1;02175/9920;02175/992175;www.leichlingen.de;info@leichlingen.de;05378016;Köln
Lemgo;Mittlere kreisangehörige Stadt;Lippe;Herrn;Bürgermeister;Dr. Reiner;Austermann;;;32657;Lemgo;Marktplatz 1;05261/2130;05261/213215;www.lemgo.de;info@lemgo.de;05766044;Detmold
Lengerich;kreisangehörige Stadt;Steinfurt;Herrn;Bürgermeister;Wilhelm;Möhrke;49515;Postfach 1540;49525;Lengerich;Tecklenburger Str. 2-4;05481/330;05481/33199;www.lengerich.de;info@lengerich.de;05566040;Münster
Lennestadt;Mittlere kreisangehörige Stadt;Olpe;Herrn;Bürgermeister;Stefan;Hundt;57342;Postfach 1263;57368;Lennestadt;Thomas-Morus-Platz 1;02723/6080;02723/608119;www.lennestadt.de;Rathaus@lennestadt.de;05966020;Arnsberg
Leopoldshöhe;kreisangehörige Gemeinde;Lippe;Herrn;Bürgermeister;Gerhard;Schemmel;33814;Postfach 1152;33818;Leopoldshöhe;Kirchweg 1;05208/9910;05208/991111;www.leopoldshoehe.de;info@leopoldshoehe.de;05766048;Detmold
Leverkusen;kreisfreie Stadt;;Herrn;Oberbürgermeister;Uwe;Richrath;51311;Postfach 101140;51373;Leverkusen;Friedrich-Ebert-Platz 1;0214/406-0;0214/4061172;www.leverkusen.de;postmaster@stadt.leverkusen.de;05316000;Köln
Lichtenau;kreisangehörige Stadt;Paderborn;Herrn;Bürgermeister;Josef;Hartmann;33162;Postfach 1144;33165;Lichtenau;Lange Str. 39;05295/890;05295/8970;www.lichtenau.de;buergermeister@lichtenau.de;05774028;Detmold
